"TOA5","CR1000_SN6134","CR1000","6316","CR1000.Std.32.06","CPU:SN6134_ClimatVUE50_LP.CR1","54061","ClimatVIEW_1min"
"TIMESTAMP","RECORD","SlrFD_W_Avg","Rain_mm_Tot","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","MaxWS_ms_Max","AirT_C_Avg","VP_mbar_Avg","BP_mbar_Avg","RH","RHT_C_Avg","TiltNS_deg_Avg","TiltWE_deg_Avg","CVMeta"
"TS","RN","W/m^2","mm","meters/second","Deg","Deg","meters/second","Deg C","mbar","mbar","%","Deg C","degrees","degrees",""
"","","Avg","Tot","WVc","WVc","WVc","Max","Avg","Avg","Avg","Smp","Avg","Avg","Avg","Smp"
"2024-04-05 13:31:00",116,277.3,0,0.278,96.6,42.78,0.43,-16.07,0.8,1001.5,44,-11.7,-2.067,1.217,""
"2024-04-05 13:32:00",117,276.2,0,0.157,184.8,69.02,0.39,-16.22,0.8,1001.5,45.1,-11.62,-2.033,1.267,""
"2024-04-05 13:33:00",118,275.5,0,0.238,296.5,49.43,0.4,-16.87,0.8,1001.5,49.2,-11.53,-2.05,1.283,""
"2024-04-05 13:34:00",119,274.8,0,0.412,200.7,47.26,0.61,-17.45,0.8,1001.5,53.7,-11.47,-2.067,1.283,""
"2024-04-05 13:35:00",120,274,0,0.222,64.69,22.11,0.28,-16.07,0.8,1001.5,47.2,-11.35,-2.017,1.233,""
"2024-04-05 13:36:00",121,273,0,0.448,62.89,38.22,0.62,-16.78,0.8,1001.5,47.9,-11.32,-2.05,1.2,""
"2024-04-05 13:37:00",122,272.5,0,0.485,67.01,21.9,0.67,-16.85,0.8,1001.5,51.4,-11.25,-2.133,1.333,""
"2024-04-05 13:38:00",123,271.8,0,0.84,39.88,26.22,1.1,-17.3,0.8,1001.5,52.5,-11.27,-2.067,1.167,""
"2024-04-05 13:39:00",124,270.8,0,0.767,20.51,6.163,0.85,-17.3,0.8,1001.5,54.6,-11.3,-2.067,1.25,""
"2024-04-05 13:40:00",125,270,0,1.047,19.65,6.553,1.2,-18.12,0.8,1001.5,54.6,-11.33,-2,1.2,""
"2024-04-05 13:41:00",126,269.3,0,0.957,35.17,13.19,1.23,-17.45,0.8,1001.5,52.5,-11.45,-2.183,1.2,""
"2024-04-05 13:42:00",127,269,0,1.115,73.66,13.59,1.74,-17.17,0.8,1001.5,51.9,-11.52,-2.067,1.25,""
"2024-04-05 13:43:00",128,268.2,0,1.148,33.77,15.91,1.54,-17.43,0.8,1001.5,50.9,-11.58,-1.967,1.267,""
"2024-04-05 13:44:00",129,267.5,0,1.278,33.19,8.12,1.59,-17.42,0.8,1001.5,55.5,-11.63,-2.083,1.233,""
"2024-04-05 13:45:00",130,266.8,0,0.952,35.63,15.81,1.22,-17.43,0.8,1001.5,51.3,-11.72,-2.05,1.283,""
"2024-04-05 13:46:00",131,266,0,0.917,32.32,9.8,1.31,-17.13,0.8,1001.5,55.1,-11.8,-1.883,1.517,""
"2024-04-05 13:47:00",132,265,0,2.243,39.52,11.24,2.46,-18,0.8,1001.483,53.6,-11.87,-2.067,1.167,""
"2024-04-05 13:48:00",133,264.5,0,1.782,39.92,10.71,2.04,-17.83,0.8,1001.5,55.3,-12,-2.117,1.15,""
"2024-04-05 13:49:00",134,263.8,0,1.262,9.82,8.5,2.21,-18.45,0.8,1001.5,55.7,-12.15,-2.2,1.133,""
"2024-04-05 13:50:00",135,262.7,0,1.188,359.5,9.87,1.49,-18.55,0.8,1001.5,58.1,-12.23,-2.05,1.25,""
"2024-04-05 13:51:00",136,262,0,0.98,6.682,8.27,1.31,-18.75,0.8,1001.5,55.8,-12.42,-2.067,1.133,""
"2024-04-05 13:52:00",137,261.3,0,1.618,20.16,4.279,1.91,-18.62,0.8,1001.5,54,-12.52,-2.017,1.25,""
